Keyword;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025;Searches: Jan 2026;Searches: Feb 2026
farol peugeot 208;50;0%;0%;Alto;81;;;;;;;;;;;;;;;;;;;
farol led moto;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol astra 2005;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol corsa frente montana;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol mascara negra gol g3;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol celta 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol peugeot 307;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol jeep compass;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol corsa montana;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol s10 2013;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
estetica automotiva santo andre;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol agile 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do gol g5;50;0%;0%;Alto;100;0,27;0,44;;;;;;;;;;;;;;;;;
farol f250;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol uno 2008;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol astra arteb;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol gol quadrado;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
arteb farol;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol porsche cayenne;50;∞;0%;Baixo;7;;;;;;;;;;;;;;;;;;;
farol milha led;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol siena 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
barra de led off road;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol hb20;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
estetica de carros;50;0%;0%;Médio;54;;;;;;;;;;;;;;;;;;;
lavagem estetica automotiva;50;0%;0%;Médio;57;;;;;;;;;;;;;;;;;;;
farol de porsche;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
lampadas automotivas;50;0%;0%;Baixo;20;;;;;;;;;;;;;;;;;;;
farol do celta 2012;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol auxiliar led;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol polo 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna guerra led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira gol g3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
barra led off road;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol gol g5 foco duplo;50;0%;0%;Alto;86;;;;;;;;;;;;;;;;;;;
lanterna traseira corsa hatch;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol polo 2003;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol hb20 2015;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol fusca;50;0%;0%;Médio;33;;;;;;;;;;;;;;;;;;;
lanterna traseira onix 2019;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha universal;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol corsa wind;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol jeep compass original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol olho de anjo;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol hilux 2022;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol astra 2007;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol novo;50;0%;0%;Médio;50;;;;;;;;;;;;;;;;;;;
farol auxiliar;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol arteb;50;0%;0%;Médio;38;;;;;;;;;;;;;;;;;;;
farol corsa classic;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira peugeot 206;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol ford ka 2009;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol celta 2005;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira gol g5;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do palio 97;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
heliar 65 amperes preço carrefour;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol l200 outdoor;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira s10 2013;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do celta 2010;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol gol g4 mascara negra;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do palio 2008;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol mascara negra gol g4;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol honda civic 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol fiesta 2005;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol angel eyes;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol uno vivace;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira c4 pallas;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol astra 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 2003;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol hb20 2014;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol amarok;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol renegade;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 2001;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha moto;50;0%;0%;Alto;100;0,23;0,53;;;;;;;;;;;;;;;;;
lanterna traseira caminhão;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira palio 97;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol led renegade;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira punto 2013;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira sandero 2012;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
serviços de estetica automotiva;50;0%;0%;Médio;57;;;;;;;;;;;;;;;;;;;
farol de milha celta 2012;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol civic 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol celta 2009;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira prisma 2015;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol compass 2022;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol gol g3 mascara negra;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol sandero 2012;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol palio 2007;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira gol quadrado;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol f1000;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol montana 2012;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol renegade led;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol vectra 97;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farois led;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol corolla 2015;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol honda fit 2008;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol corsa;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol corolla 2005;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do gol g2;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha gol g7;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
estética automotiva produtos;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol palio 2002;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira hilux 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha do gol g4;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol celta 2003;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol montana 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna carreta guerra;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol fiat 500;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha celta;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira saveiro g4;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol bmw 320i;50;0%;0%;Alto;86;;;;;;;;;;;;;;;;;;;
farol palio;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol prisma 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol celta 2004;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de led redondo;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha corsa classic;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira s10;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol porsche;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
farol fiesta 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
v light farol;50;0%;0%;Baixo;14;;;;;;;;;;;;;;;;;;;
farol uno 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira jeep compass;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira golf sportline;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para caminhão;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
loja de produtos de estética automotiva;50;0%;0%;Médio;43;;;;;;;;;;;;;;;;;;;
lanterna traseira peugeot 207;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol f1000 94;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do palio 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta 2007;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha redondo;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol new fiesta 2014;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna gol g4;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol agile;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol c3 2008;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol da porsche;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
estetica automotiva ribeirão preto;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol audi a3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do astra 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol santana 2000;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol uno;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol saveiro g5;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol s10 2014;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira ranger 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do jeep compass;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol sandero 2010;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol arteb gol quadrado;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
recuperar lanterna traseira quebrada;50;0%;0%;Médio;57;;;;;;;;;;;;;;;;;;;
farol f1000 98;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol siena 2008;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de carro;50;0%;0%;Médio;47;;;;;;;;;;;;;;;;;;;
farol montana;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira do gol g4;50;0%;0%;Médio;50;;;;;;;;;;;;;;;;;;;
recuperação de lanternas automotivas;50;0%;0%;Médio;43;;;;;;;;;;;;;;;;;;;
lanterna traseira sandero 2013;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol porsche panamera preço;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol meriva;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira etios sedan;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do gol g6;50;0%;0%;Alto;79;;;;;;;;;;;;;;;;;;;
lanterna traseira montana 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol vectra 98;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol punto 2008;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do peugeot 207;50;0%;0%;Alto;100;0,19;0,71;;;;;;;;;;;;;;;;;
farol s10 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lampadas h7 led;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do astra 2005;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do uno 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol led fusca;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol milha moto;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha hb20;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol fiesta 2008;50;0%;0%;Médio;50;;;;;;;;;;;;;;;;;;;
farol fiesta 2012;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do siena 2010;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol hilux 2019;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol azera 2013;50;0%;0%;Baixo;29;;;;;;;;;;;;;;;;;;;
lanterna traseira saveiro g5;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol atego 2425;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha corolla 2005;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
frente titan 160;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 98;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led longo alcance;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol i30;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol iveco daily 35s14;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol golf gti;50;0%;0%;Alto;82;;;;;;;;;;;;;;;;;;;
farol cobalt 2013;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2018;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol hilux 2013;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol palio 2006;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol classic 2012;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol ford ka 2015;50;0%;0%;Alto;95;;;;;;;;;;;;;;;;;;;
farol scania 124;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
estética automotiva preço;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lampada farol de milha;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira agile 2011;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol uno 2006;50;∞;0%;Baixo;29;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2015;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol gol g5 original;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol classic 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol peugeot 308;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol c4 pallas;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha onix 2019;50;0%;0%;Alto;71;;;;;;;;;;;;;;;;;;;
farol gol g7;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de fusca;50;0%;0%;Alto;88;;;;;;;;;;;;;;;;;;;
farol kombi;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
restaurador de farol;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do agile 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol saveiro g6;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol golf mk7;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol celta 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol fox 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol voyage g5;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do gol quadrado;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira onix 2015;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol celta 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol vectra 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de led quadrado;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do peugeot 206;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do uno 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol fox 2013;50;0%;0%;Alto;76;;;;;;;;;;;;;;;;;;;
farol siena 2007;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira onix 2018;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol cruze 2014;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira l200 triton original;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol golf sportline;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira cobalt 2012;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 99;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol cruze 2012;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
loja de produtos para estetica automotiva;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol xenon;50;0%;0%;Alto;99;;;;;;;;;;;;;;;;;;;
farol foco duplo gol g2;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol led redondo;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira s10 2010;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna carreta randon;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol agile 2013;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol prisma 2012;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha fiat argo;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna traseira spacefox 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol hella;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol new beetle;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol ecosport 2007;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol onix 2015;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
veneto estetica automotiva;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
lanterna c4 pallas;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol corolla 2003;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina;50;0%;0%;Alto;84;;;;;;;;;;;;;;;;;;;
farol auxiliar de led;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira hb20 2023;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
